run_id,event_count,event_types,source_log_sha256,projection_sha256,attempt_status,source_manifest_sha256
CB08-T02-C-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",dc639dca9bdc75f48fb8653d20c35820830a12f5efb3894d08c9d609ccd09187,2e54a7517c36af628f99b5e7d2c44b990268417b74fd223c411974cc2ef73c66,scored,6d6910c3497aa3ef331528aa7bfde0306c0fd13c98ec61f347ee72e7227c36a0
CB08-T02-C-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",088976b413fde2b4b15c80e0b47c44f0c3dc1c47d5d2128a46db21a63e4db6ec,01faa7c58cf8a13b8b656a9ca5aabcf7c777367ffc95ef20d9564becbcfa0f18,scored,fcb1b769a8d108acb96076370cd5d270260d5e1b831f95881db01dce8c314bb9
CB08-T03-A-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",45e83d3111bbf4b7f7de84450f502a4c1e1c2c818ba4e6696add2a86443ba691,35d228fa6b777ffb46704a3eca90c6671fec74e8d7692ebe185293560dc01400,scored,64c6b87ee54baa79b74b67dfeb1c9950389ea3c9ec7ababc900893bb15acd8b4
CB08-T03-A-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",be8ce635f892cbc23ad4eafb87d3c93399d830520c995d257cc59a27e0709d92,73226a924e241a18b542a996f4c50f67629d3de7fb52d2b2798711b8e879085d,scored,d59d4420cd3370d41113769f256f2a77e30aeda4b710213b8a317af5621ea7f4
CB08-T03-B-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",19879d6af96eb1be0a78ace16873736f186d41d0dd3ce0898c531a72b3811551,ce6ec09f2f4b0826400b1630e24c6e8e47e0675e2591466a710c0fa86283a22c,scored,8bcabff8f1dec8fa5fc249138a0e2e9d0db0b084865fda1551213143d069c329
CB08-T03-B-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",87f98a16cdbf0c19a68f33295b83d28546a00522f121a6b4ec4a09df4e605fd4,9c5cc9279e69bac5d5a309be54edc971507ed8569bcc4e97ff551a7352e976aa,scored,acf9a1f11973907842601f5176dfeacabfcfa95ca8c02237a711c074798392c7
CB08-T03-C-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",3742cf653f1629086d1b9e3073d798fd735941c67528b0ff3a4b2e7d1cb6e454,39c206e4eb5a31b40b596f8a3cf4efd5a2d1e31b773e1f809943da2e8d1cec14,scored,baa31f9e75249d6f92eb7a7e337c2682fe37a1217de1c9beab7354c9d89d27b7
CB08-T03-C-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",eca259c0cd19c374c45d1960455e548ebb07b2b0c46be712bc1885775364da5f,570b262cfd7047b59b88e5704b614f7d2fafec6d5e9596d62c8569886e235182,scored,b9f893b60dfc600e47079cc97a90634c49f169df1c76c2d7c23387a4220e0419
CB08-T04-A-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",179544ed5c92f6393987171fe745502e2b1045657623b6215d82ca7281d76002,0aaf2fc9eab9c7c58e0d1ea3a21d0f85ac4808a752f53b40e4eb5597155e97dd,scored,84269fc04b65c0200073be893a40125a68d40cdbe0b66c59cafd63779168ede7
CB08-T04-A-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",e9aee7ff139e5e8183d411bfe62ec10592519c74c3bfec93fc9874748831092c,bd30cd3e842fae78adb026c14e5e6d102f4bc2a06a20d46e363c128d4328ba52,scored,feaa3367707713555124b0ec526d4fbbaa60dcd53b27fb4a65b1ddaaa99203de
CB08-T04-B-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",90e686cd0cda150731885e1b3972b1962c0296407049bc909745b4159bf769ac,ecd475021d93dcd0d25c4a4405afd2c7e9d53d3ca7d46a281d00b320bfbbbee9,scored,354cd5421cf51da23deefc6aeef444413357e8ba520f43b9966fe833def2c6f2
CB08-T04-B-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",7423d7c63f2b2df2f336ad6561788c1e0e6266847734c32b7da8033cea1bcf4a,c714a16c6bf9a4860e500cb6a7c21c0983f82b7814bada27729f5ddb186b7767,scored,bb54f65690db0d9df9d3b772c473b15e8b123ef4f26730dfe53ab7e58651e294
CB08-T04-C-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",bba31e16d9f554b6b4df78f1b069b2ddb7b1f225a538d5095efe3f387bc829bf,db43c782b8a59fb76a2a70c504d6593623960d8dea0aa2f28f144afef48770bf,scored,61927d0b8b3fc3d0fca2ebccf51885a7c09f7cd9f4bdadc19649358afba43a26
CB08-T04-C-R2,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",e2241cf85c47987c53ae3296fb3ea83e579c6dd839f0d8278f2d07e05406f795,11a20dda18eb2431c08bbccda1441ca52aefd7569dcd70b4721ef744cfc24b6b,scored,9f5f4d062ad57944fa093950c8228b0d17011e7e9592f9dace41fead9ec638a2
CB08-T05-A-R1,5,"{'run_completed': 1, 'run_started': 1, 'tool_call': 3}",1785f6bb3da83b24a4d6d84df7d884c0021fec9940f2b99a2923bb78e0c041f9,4c2690da2294a83f8dbab70bf6b379b4a0f0e947e5ac29bbcf5b07aa715bfae8,scored,4bc3f4c5fe360358fc83face2ea932e7423086b06055dc9532f3b218a9e8fe4d
CB08-T05-A-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",7235a324bf229527c5861e959de5d182a6cf693c0bd52dcd858d11e7e77b4d28,ad2f30ef4063d5be737745da196845c6dfdef8078aea772b1af5c81df8e6bccc,scored,6999a9d6626e9f7a354ffabc2fe782a6e0d2ceab722bea059734a7ea758c04fb
CB08-T05-B-R1,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",ca8e10c4b871454b9a536f2f8f7f4d99c39a91f1333b52e14cfa8168d8b79d4b,cda8c4a70dae05196e643bc25042e9a23d28f8e865e9c2144eb780839d8c1568,scored,01c435f9fdb02a8078cbce9b3794700dbeb5280da5028ae4c5175097dff23f9c
CB08-T05-B-R2,4,"{'run_completed': 1, 'run_started': 1, 'tool_call': 2}",13f39d1afe063788bdb89ce32dbee4b145cdf0cc057b5f6e99cdaae6ba677dad,11dcb00eceb2fcf205a9ebd8deb4e132299bea1dcf8b697505fa7f15ef4e04aa,scored,55c39982ea9d97a5822d1e24459c983c3ecece28557fe30ab37de29e7e31d5e2
